% Device,CC1841005
% File name,CC1841005_20220417_062738
% Cast time (UTC),2022-04-17 06:27:38
% Cast time (local),2022-04-17 02:27:38
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,49.4797267
% Start longitude,0.0276967
% Start altitude,52.715000152587891
% Start GPS horizontal error(Meter),9.9209995269775391
% Start GPS vertical error(Meter),18.937000274658203
% Start GPS number of satellites,5
% End latitude,49.4795053
% End longitude,0.0281416
% End altitude,50.180999755859375
% End GPS horizontal error(Meter),215.89500427246094
% End GPS vertical error(Meter),98.611000061035156
% End GPS number of satellites,4
% Cast duration (Seconds),645.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2018-11-19
% Temperature calibration date,2018-11-16
% Pressure calibration date,2018-11-13
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
386.6,8.2904774492840438,10.462394714355469,36482.5234375
386.8,8.2910049958931378,10.462153434753418,36482.73046875
387,8.297376658713171,10.46174430847168,36473.90234375
387.2,8.2979022979736321,10.461625099182129,36487.50390625
387.4,8.29896008750265,10.461006164550781,36490.8828125
387.6,8.2941718534720952,10.4605712890625,36483.86328125
387.8,8.28354331792787,10.461348533630371,36491.93359375
388,8.2713259609725132,10.461474418640137,36484.9453125
388.2,8.2527285228403962,10.462263107299805,36480
388.4,8.228290783194609,10.462769508361816,36479.14453125
388.6,8.204383286468742,10.463441848754883,36479.875
388.8,8.1948190514616268,10.464612007141113,36458.67578125
389,8.2006547493158379,10.462852478027344,36459.125
389.2,8.2027749320333321,10.462030410766602,36463.75
389.4,8.2160531042527776,10.462090492248535,36466.96875
389.6,8.2277310109692952,10.461456298828125,36466.3828125
389.8,8.2388824894631547,10.462824821472168,36464.984375
390,8.2548099689335785,10.46202564239502,36459.82421875
390.2,8.2702167422272446,10.462184906005859,36459.19140625
390.4,8.2845477708920026,10.462118148803711,36463.5625
390.6,8.2914477692833248,10.462940216064453,36462.12109375
390.8,8.2967551315662469,10.464008331298828,36470.484375
391,8.2978129210952645,10.46397590637207,36470.96875
391.2,8.3079020064006475,10.464956283569336,36470.2890625
391.4,8.302053286530251,10.464042663574219,36468.40625
391.6,8.2962083813571184,10.463744163513184,36477.52734375
391.8,8.2940770839720734,10.463335990905762,36470.984375
392,8.2866357279932767,10.464113235473633,36471.7734375
392.2,8.28078700812288,10.464696884155273,36472.203125
392.4,8.270694437544476,10.464962005615234,36474.26953125
392.6,8.2605942375715387,10.465897560119629,36468.74609375
392.8,8.2435913428964547,10.465182304382324,36481.5
393,8.2271225058385564,10.465249061584473,36477.546875
393.2,8.2271217168763631,10.465860366821289,36472.2265625
393.4,8.2313628712735429,10.464084625244141,36478.359375
393.6,8.246229864904123,10.463532447814941,36481.48046875
393.8,8.2595042224263029,10.462441444396973,36470.2578125
394,8.2775603029709455,10.461538314819336,36477.6640625
394.2,8.2918970536816019,10.460551261901856,36488.203125
394.4,8.3152631928199945,10.461090087890625,36479.9375
394.6,8.3354402450443246,10.461889266967773,36484.48828125
394.8,8.3423421507842779,10.462623596191406,36486.453125
395,8.347117362798647,10.463233947753906,36490.1171875
395.2,8.3540192685386,10.462919235229492,36481.2578125
395.4,8.3417980968859773,10.462539672851563,36491.8828125
395.6,8.3263916530165556,10.461461067199707,36486.64453125
395.8,8.3083263651529951,10.459896087646484,36482.61328125
396,8.29291801393494,10.459400177001953,36486.38671875
396.2,8.28122708520224,10.460286140441895,36496.109375
396.4,8.2727271507322317,10.45900821685791,36488.01171875
396.6,8.2589076209253118,10.459305763244629,36488.0234375
396.8,8.2440333273244466,10.460500717163086,36493.56640625
397,8.2355295781571733,10.460908889770508,36483.3515625
397.2,8.2360552174176362,10.461371421813965,36480.30859375
397.4,8.24083424412927,10.4618558883667,36486.40625
397.6,8.2551671801426618,10.46141529083252,36474.15625
397.8,8.2726911104187479,10.460477828979492,36478.3203125
398,8.2811837449184686,10.460610389709473,36479.0859375
398.2,8.2987095825431876,10.461381912231445,36482.74609375
398.4,8.3125160903339239,10.461057662963867,36486.25390625
398.6,8.3257923552047366,10.462192535400391,36485.328125
398.8,8.3496849225657854,10.461341857910156,36484.30859375
399,8.35127676971199,10.461980819702148,36480.81640625
399.2,8.3369308116824126,10.462423324584961,36481.0234375
399.4,8.3167407374418989,10.462059020996094,36482.83984375
399.6,8.2986792642756022,10.462721824645996,36466.1640625
399.8,8.28327091305755,10.462010383605957,36475.6875
400,8.2699835335191825,10.462173461914063,36475.90234375
400.2,8.2551054252210516,10.462697982788086,36469.1015625
400.4,8.2290769568154971,10.462806701660156,36476.17578125
400.6,8.21101357630057,10.463464736938477,36471.3671875
400.8,8.2025117344819289,10.462890625,36468.859375
401,8.1982537433712981,10.463871955871582,36460.84765625
401.2,8.1993153475975813,10.462896347045898,36462.44140625
401.4,8.22267957938734,10.462453842163086,36462.1171875
401.6,8.2402035096634272,10.462663650512695,36457.046875
401.8,8.2614429550762321,10.462713241577148,36464.921875
402,8.2720660979988043,10.463197708129883,36458.9609375
402.2,8.2853385481723514,10.463130950927734,36457.0703125
402.4,8.2948954832091815,10.463292121887207,36460.4921875
402.6,8.2996706952235488,10.46308708190918,36467.1328125
402.8,8.3012606350211211,10.464327812194824,36456.69140625
403,8.3007257884417385,10.463300704956055,36474.375
403.2,8.2932844324629436,10.46258544921875,36464.69921875
403.4,8.2938081643747736,10.463042259216309,36456.4140625
