Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
10.35,10.299161158826045,10.461377624399546,36490.713058794565,51451.347216819311,32.941043490353643,1489.1509806498618,1025.3137252387824
10.649999999999999,10.597409966696985,10.460397211859831,36491.569644728064,51453.977555168727,32.942660428438558,1489.1543767143819,1025.3165124919265
10.95,10.89565876751735,10.461412050278216,36488.099417355625,51447.612077068079,32.938126309486357,1489.1574421199384,1025.314163385835
11.25,11.193907856059312,10.460819581902367,36486.801046927525,51446.640936563083,32.937228119960544,1489.1591762079938,1025.3149239110473
11.549999999999999,11.492157076664457,10.461310942448131,36484.111423861505,51442.135744887331,32.9339519153739,1489.1618973708382,1025.313645047868
11.85,11.790406442523073,10.460959761592783,36482.967643012627,51441.032459768285,32.932990538037643,1489.1644158426243,1025.314314881193
12.149999999999999,12.08865535937661,10.461612990870846,36485.6809964413,51443.910639138281,32.934992966806,1489.1741077196455,1025.3171218829882
12.45,12.386904892754787,10.462778693893247,36476.874446646332,51429.803007692281,32.924965117066762,1489.1710579431206,1025.3104656135988
12.75,12.68515528862806,10.461972185552938,36475.790299403481,51429.444065527139,32.924475641546088,1489.1725233165123,1025.3115814176356
13.049999999999999,12.983405735543805,10.462076530587883,36472.924302891239,51425.251805871332,32.921373019470145,1489.1740738705,1025.3105043355786
13.35,13.2816565891382,10.461526158240512,36469.002084488937,51420.519694714705,32.917802323059341,1489.1727213485258,1025.3091749622042
13.649999999999999,13.579906449702644,10.460884893977271,36477.600371143984,51433.573189454437,32.926884680454329,1489.1863690561434,1025.3177216289075
13.809493954700487,13.738468593328093,10.460790772858022,36488.504053941295,51449.083986403784,32.937848449107555,1489.2019361950263,1025.3270041444275
