Image,Avg_Angle_StD,Avg_Major_Minor,Streak
148.0,26.773891413455406,2.660809840669727,1.0
149.0,67.45115593672416,2.2086635666314822,0.0
150.0,24.03427540129525,1.6830279316038577,0.0
151.0,78.42164163094509,2.3839426674113167,0.0
152.0,75.65811407869757,1.9835232217178336,0.0
153.0,60.94520144602856,3.6000572222694323,0.0
154.0,72.7559112234413,2.4156358703176752,0.0
155.0,86.06025326897213,5.354986340839318,1.0
156.0,59.60678603882283,3.086428456784467,0.0
157.0,85.91975809094741,5.116760766057711,1.0
158.0,46.61310902137295,1.986230244908726,0.0
159.0,84.75640397672036,4.113425363367517,1.0
160.0,38.37431457109065,1.6345144469029147,0.0
161.0,80.58543483351427,3.0001055038063935,0.0
162.0,10.884363135352576,2.7276853995988697,1.0
163.0,17.838437300145564,1.853320845983512,0.0
164.0,75.807369433282,3.026663448208755,0.0
165.0,77.12035658813785,2.6729465346505314,0.0
166.0,73.13000911902876,1.8034417478998133,0.0
167.0,82.09497821212517,2.9081621226584615,0.0
168.0,47.220720250322145,1.6905789708893688,0.0
169.0,58.907651621942875,1.5730387138563582,0.0
170.0,77.07166460681358,2.456886963416833,0.0
171.0,79.48558481803022,2.3555154108743888,0.0
172.0,74.28973113120597,1.7777495149174212,0.0
173.0,16.297715930767723,1.9888857664599378,1.0
174.0,48.28757170224455,1.8563782954501054,0.0
175.0,62.45102881247353,1.7214536228459598,0.0
176.0,77.88045590553337,2.1904299878188973,0.0
177.0,54.77058438841865,1.642855957876627,0.0
178.0,16.739747049462846,2.4325027324604074,0.0
179.0,57.95667241771059,1.9516617486196008,0.0
180.0,75.22486041463964,2.9905672102805685,0.0
181.0,84.92725189681542,3.811962526533378,0.0
182.0,24.989171485971045,2.4932214008209423,0.0
183.0,80.41277484287372,3.3804329369221198,0.0
184.0,45.714065985930155,2.373273812972097,0.0
185.0,78.07912018240384,2.2882623519047125,0.0
186.0,31.012977306198216,2.0193211207206048,0.0
187.0,60.39189142454918,2.044997052048648,0.0
188.0,78.85539349939252,2.3534692663824144,0.0
189.0,77.97460201426229,3.0212777327843927,0.0
190.0,76.99984376464046,2.2003255314071346,0.0
191.0,50.628996484095225,2.1306223007518637,0.0
192.0,57.72400696036883,1.5583335947921595,0.0
193.0,68.37712902188547,1.7142938563643617,0.0
194.0,10.89870950892811,3.1331334426428694,1.0
195.0,12.903154555077695,2.011200938937092,1.0
196.0,51.93518340544907,1.7240216174456093,0.0
197.0,55.30472789637899,1.5385280363130986,0.0
198.0,57.32648321438466,1.540944188927444,0.0
199.0,13.953482469626602,2.418164205753366,1.0
200.0,24.489000627781852,2.1213826930642528,0.0
201.0,66.77069356739537,1.8627367702666862,0.0
202.0,34.89897651626474,1.7523556488857732,0.0
203.0,13.160312725092144,2.7297682213527548,1.0
204.0,69.47138586946241,1.9593707394695208,0.0
205.0,63.567921788433985,1.804292195242406,0.0
206.0,19.8051740666402,1.9242793717143492,1.0
207.0,56.55102293741102,1.6626107018014273,0.0
208.0,58.21836563617137,1.7065706839125916,0.0
209.0,63.3196604845749,1.5420680063490397,0.0
210.0,40.78835451151267,1.9000190922323221,0.0
211.0,21.25605143040678,1.7856698337570662,0.0
212.0,72.33514671339358,1.9712454827531316,0.0
213.0,36.12832433404012,1.728436653053634,0.0
214.0,45.02306585164542,1.868309761004585,0.0
215.0,69.1799838701884,1.9184065268732078,0.0
216.0,31.982968160478272,1.5885861454358066,0.0
217.0,19.665295266763582,2.160442782701612,0.0
218.0,65.48282872419784,1.9593736457377722,0.0
219.0,62.57734691163755,1.501734309421362,0.0
220.0,77.64069165887835,2.6335730188144955,0.0
221.0,68.16930250157935,1.7123695174722675,0.0
222.0,49.99785683178259,1.6985298991835922,0.0
223.0,60.29464118647166,1.6668217579232238,0.0
224.0,40.90651352547559,1.6206311811825438,0.0
225.0,16.269365931600607,2.399379968725054,1.0
226.0,67.46510473400795,1.8259826031604767,0.0
227.0,44.69540003354224,1.9022015603667277,0.0
228.0,18.00751821802352,1.906020597002509,1.0
229.0,70.03378399728031,1.8306834215279373,0.0
230.0,26.045767697821045,1.923127803155495,0.0
231.0,9.108283191002574,3.386744309746854,1.0
232.0,76.16901502387809,2.022560179161369,0.0
233.0,60.497433306618106,1.5963251026137182,0.0
234.0,9.627206883226773,3.4910117254088346,1.0
235.0,71.47961497484006,1.8581223548675656,0.0
236.0,66.14908716999294,1.5671349445684655,0.0
237.0,17.163453637307384,1.9534123473076428,0.0
238.0,77.0222375730695,1.9827293927170315,0.0
239.0,16.341283660308537,2.2440298694642427,1.0
240.0,4.9965515348087814,3.2582413979863203,1.0
241.0,77.33201585752069,2.5960752966343663,0.0
242.0,72.96488516746015,3.126291520302852,0.0
243.0,31.999410536360763,1.859423532393671,1.0
244.0,23.406549320886903,2.7731039699341062,1.0
245.0,44.48671188761233,1.8779308258149492,0.0
246.0,73.42784977413203,1.7616980611554915,0.0
