Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
7.949999999999998,8.11848955434403,8.378726609331155,273.4651065134333,409.6398129774445,0.1923353990010038,1441.085226951888,1000.0178324363516
8.25,8.424841617056881,8.377900161968979,273.4456064847761,409.6207448009896,0.1923245964433385,1441.0865664353332,1000.0193244540444
8.55,8.731193270339718,8.376331309436903,273.4563877769267,409.65615010480343,0.1923395003645463,1441.0848724864652,1000.020886279468
8.85,9.037544509572248,8.375465664865038,273.48474255952857,409.70925365609344,0.1923635164596315,1441.086094342,1000.0224084689248
9.149999999999999,9.343895368406583,8.377063840049205,273.5027601789603,409.7166267974473,0.192367434744577,1441.0974665496442,1000.023750600557
9.45,9.650245900366425,8.380992393092413,273.5130009737719,409.6837471949612,0.1923537920751995,1441.1184402140411,1000.0249233605452
9.75,9.95659606289907,8.378572209740046,273.5200293757532,409.72398048820475,0.192370341793093,1441.1132330007586,1000.0265433094496
10.05,10.2629457940469,8.376817224392065,273.53474399521326,409.7675673450848,0.1923890458431892,1441.1107752979813,1000.028120575548
10.35,10.569295108452604,8.375740688521786,273.54087866763587,409.7899747311211,0.1923980689224368,1441.111107109278,1000.0296449356211
10.65,10.87564402532964,8.375812627236302,273.5621787703169,409.82100095306254,0.1924121791174127,1441.1161889049567,1000.03109677091
10.95,11.18199253387813,8.374038697558785,273.60534697203485,409.9074574873797,0.1924515673204282,1441.1136788455074,1000.0326916480784
11.25,11.488340602211313,8.37193848715055,273.72200330967325,410.1080364496455,0.1925457988751751,1441.109890718756,1000.0343516715648
11.55,11.79468823074013,8.37027454888888,273.7741517521277,410.20662169116554,0.1925911309824296,1441.1078418671154,1000.0359438745742
11.85,12.101035427636583,8.36854364048975,273.8433379309836,410.33156987813385,0.1926491385901281,1441.105532244149,1000.0375505540125
12.15,12.407382183106153,8.36606121533822,273.9062727283103,410.456408025765,0.1927064854760954,1441.1001166931355,1000.0392067123208
12.45,12.713728499127669,8.3644194879914,273.96400677636626,410.5631253002499,0.192755760144851,1441.0981635773014,1000.040800481282
12.75,13.020074406681754,8.364851602686814,274.03323655749546,410.6615545915212,0.1928027080407737,1441.1047755252555,1000.0422543807712
13.05,13.326419886514383,8.36191323816265,274.15059066648024,410.8736041446204,0.1929017979459682,1441.0975284316714,1000.043973865094
13.35,13.63276492576782,8.360835482778521,274.1802956468144,410.9313985681672,0.1929279026176259,1441.0978753070222,1000.0455117191436
13.65,13.939109564565504,8.36097044632464,274.2192364431779,410.98809892892154,0.1929544596445085,1441.1032336163005,1000.0469692505712
13.95,14.245453810693135,8.360163407627581,274.19362753547483,410.959658957759,0.1929391408495089,1441.1046461132555,1000.0484562800232
14.249999999999998,14.551797651933176,8.359488842617433,274.2720560387611,411.08551952446726,0.1929984395569266,1441.106701260577,1000.0499935864106
14.55,14.858141104015422,8.360567404449775,274.29957984783056,411.1134809584254,0.1930118820194449,1441.115941959565,1000.0513779239152
14.85,15.164484164789611,8.35899334743902,274.29171814725186,411.12109602718175,0.1930133526600499,1441.114206459216,1000.0529292769286
15.215202451250116,15.537407751351267,8.35947200457783,274.3263088229752,411.1670424300033,0.1930347916212266,1441.1220146600222,1000.0546740014694
