Time,Depth [m],P [Decibars],T [Celsius],SpC [MicroSiemens/cm],Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),% Device,CC1841005
01092021135017,5.8301160765963065,5.7193438711409765,8.388705062866212,273.4909301757813,395.6,5.720937270188829,8.389137268066406,273.464111328125,,
01092021135017,5.85295018478955,5.741744131278549,8.388859367370605,273.48839111328124,395.8,5.755441946219955,8.388919830322266,273.51080322265625,,
01092021135018,5.885851438498569,5.774020261167097,8.388673782348633,273.4791625976562,396.0,5.766055173276472,8.388500213623049,273.5111694335937,,
01092021135018,5.916587530701473,5.804172367618145,8.388660049438476,273.4905517578125,396.2,5.7803858228183405,8.38880920410156,273.4554443359375,,
01092021135018,5.944942645192101,5.831988734933451,8.388776969909667,273.4726867675781,396.4,5.847281093331889,8.388002395629881,273.45428466796875,,
01092021135018,5.9795758725628,5.865963930984107,8.389320373535156,273.49073486328126,396.6,5.871697802444068,8.389068603515625,273.52105712890625,,
01092021135018,6.018214337633392,5.9038682652183585,8.389654350280761,273.499609375,396.8,5.894523782796483,8.389504432678223,273.4214782714844,,
01092021135019,6.04570346529318,5.93083509945261,8.389786720275879,273.50982666015625,397.0,5.935931153529758,8.391217231750488,273.6014099121094,,
01092021135019,6.069513218281474,5.954192467134126,8.389438247680664,273.5003295898438,397.2,5.969907493989595,8.39047908782959,273.49981689453125,,
01092021135019,6.0934314626598916,5.9776562648693545,8.388969993591308,273.5140808105469,397.4,5.982115264503143,8.388664245605469,273.50537109375,,
01092021135019,6.118432287791366,6.002182074323331,8.387961959838867,273.4838439941406,397.6,5.9884846408516506,8.38732624053955,273.4735717773437,,
01092021135019,6.140510455976009,6.023840757312465,8.387249565124511,273.4795776367188,397.8,6.011842771472621,8.387163162231445,273.490234375,,
01092021135020,6.163238405927303,6.0461368762146845,8.386868095397949,273.4660888671875,398.0,6.058560200799644,8.386177062988281,273.45022583007807,,
01092021135020,6.193218558121606,6.0755474055172956,8.386902046203613,273.4724365234375,398.2,6.078200908935264,8.38691711425781,273.4784851074219,,
01092021135020,6.228610836365139,6.110267230474202,8.386887359619141,273.4607421875,398.4,6.093595859014242,8.386756896972656,273.4379272460937,,
01092021135020,6.2572925916002236,6.13840403235982,8.387186813354493,273.4643310546875,398.6,6.135537287364704,8.387495994567871,273.5053100585937,,
01092021135020,6.292577545027723,6.173018571672197,8.38725242614746,273.4435302734375,398.8,6.1854418962571565,8.387089729309082,273.4317626953125,,
01092021135021,6.333815526022954,6.213473031028518,8.387451362609863,273.4496215820312,399.0,6.199244210227736,8.387674331665039,273.4681701660156,,
01092021135021,6.370291940451662,6.249256393583081,8.38744297027588,273.44017333984374,399.2,6.251273605497144,8.387245178222656,273.3744812011719,,
01092021135021,6.4073096452569,6.285570761997019,8.38756103515625,273.46204833984376,399.4,6.295868155795848,8.387751579284668,273.4683837890625,,
01092021135021,6.448440690294125,6.325920317178537,8.387556076049805,273.4671936035156,399.6,6.314454100137521,8.38745403289795,273.45806884765625,,
01092021135021,6.482211041698216,6.3590490319059505,8.387604141235352,273.4851806640625,399.8,6.367013738326849,8.387680053710938,273.5411376953125,,
01092021135022,6.515225064235679,6.391435788015201,8.387325286865234,273.4906372070312,400.0,6.4009919861353195,8.387649536132812,273.493896484375,,
01092021135022,6.547696629822525,6.423290393855898,8.386729621887207,273.49378662109376,400.2,6.416917179134217,8.38748550415039,273.46441650390625,,
01092021135022,6.570426524063966,6.44558842010675,8.385952568054199,273.4837158203125,400.4,6.457801936342102,8.386357307434082,273.49566650390625,,
01092021135022,6.5886095013709545,6.463425920844907,8.385066795349122,273.4637084960938,400.6,6.473727129341001,8.38447570800781,273.47381591796875,,
01092021135022,6.60690097006807,6.481369851636776,8.384345817565919,273.4659851074219,400.8,6.478503869581111,8.383794784545898,273.49078369140625,,
01092021135023,6.618479582608558,6.492728470538995,8.383986854553223,273.45005493164064,401.0,6.4901794898261045,8.383220672607422,273.39385986328125,,
01092021135023,6.640992494069751,6.514813636682426,8.3841121673584,273.4433654785156,401.2,6.506636833093559,8.383880615234375,273.4757995605469,,
01092021135023,6.669675804736952,6.542951964446951,8.384553146362304,273.42926635742185,401.4,6.514595030853201,8.384562492370605,273.416015625,,
01092021135023,6.7053962791570605,6.577993749853077,8.385014533996582,273.41771240234374,401.6,6.584152960058155,8.385102272033691,273.4403686523437,,
01092021135023,6.744905786212873,6.616752576274829,8.385441398620605,273.4159362792969,401.8,6.6191955084037355,8.38599967956543,273.4202880859375,,
01092021135024,6.782792977571214,6.653919910997361,8.386172866821289,273.42918090820314,402.0,6.665388416856734,8.385527610778809,273.3360900878906,,
01092021135024,6.802060091063378,6.6728209493331745,8.386665153503419,273.43023071289065,402.2,6.7004309652023135,8.386014938354492,273.4669189453125,,
01092021135024,6.805413967430041,6.6761111020488695,8.386667060852051,273.42548217773435,402.4,6.700431704465862,8.388219833374022,273.48223876953125,,
01092021135024,6.795668772227911,6.666551065555581,8.386221885681152,273.42970581054686,402.6,6.678658151737222,8.387563705444336,273.44561767578125,,
01092021135024,6.778454003144499,6.649663377084754,8.385383987426758,273.4320129394531,402.8,6.635646271982216,8.386009216308596,273.39654541015625,,
01092021135025,6.7606967771104705,6.632243538345373,8.383991241455078,273.4282287597656,403.0,6.6175882343902925,8.383301734924316,273.3572082519531,,
01092021135025,6.746404276115862,6.618222594869661,8.383040428161621,273.41978149414064,403.2,6.6159925228481775,8.38182544708252,273.4784545898437,,
01092021135025,6.741637241402475,6.613546133815828,8.382386207580566,273.42058715820315,403.4,6.613332510768952,8.381256103515625,273.4633178710937,,
01092021135025,6.7409839357790995,6.6129052409992966,8.382863998413086,273.43455810546874,403.6,6.608553434358672,8.38280963897705,273.40338134765625,,
01092021135025,6.740331019013754,6.612264729652493,8.383822441101074,273.42841796875,403.8,6.612263966713041,8.38273811340332,273.40057373046875,,
01092021135026,6.740219781482967,6.612155605634792,8.384762573242188,273.41895751953126,404.0,6.614383770307642,8.385690689086914,273.42706298828125,,
01092021135026,6.740973753066961,6.612895251758689,8.385160446166992,273.436474609375,404.2,6.61278996611416,8.386617660522463,273.44775390625,,
01092021135026,6.74042932769174,6.612361170465597,8.385378646850587,273.4502319335937,404.4,6.612786890680441,8.38595676422119,273.416015625,,
01092021135026,6.739560594720236,6.611508943420551,8.384737014770508,273.4599609375,404.6,6.612251664978169,8.384799003601074,273.490966796875,,
01092021135026,6.740315732878319,6.612249733953631,8.38417739868164,273.4576782226562,404.8,6.609593560247577,8.383829116821289,273.4693603515625,,
01092021135027,6.7413951786326844,6.613308670238664,8.384239196777344,273.46240234375,405.0,6.610122635082414,8.382482528686523,273.4757080078125,,
01092021135027,6.743232508685795,6.615111091020765,8.384569358825683,273.4455200195313,405.2,6.616493918779554,8.383819580078125,273.43634033203125,,
01092021135027,6.746801812400588,6.618612577964977,8.385403060913086,273.4620849609375,405.4,6.618081572105601,8.386265754699707,273.43963623046875,,
01092021135027,6.749288535362323,6.621052053190439,8.386519622802734,273.4659912109375,405.6,6.6212637688886815,8.386449813842773,273.40655517578125,,
01092021135027,6.749934404414224,6.621685650730354,8.38717269897461,273.4812255859375,405.8,6.627100994968636,8.3879976272583,273.5521850585937,,
01092021135028,6.749606572961221,6.621364048074957,8.386991119384765,273.4941040039063,406.0,6.622320011209723,8.388065338134766,273.4952392578125,,
01092021135028,6.747762972910723,6.61955547642542,8.38690414428711,273.50978393554686,406.2,6.619661906479129,8.3870849609375,273.51251220703125,,
01092021135028,6.741914135160333,6.613817766592287,8.386358833312988,273.49363403320314,406.4,6.616473558828615,8.385357856750488,273.5040283203125,,
01092021135028,6.737256369553125,6.609248498531616,8.385668754577637,273.48154907226564,406.6,6.612220910640991,8.386014938354492,273.4849548339844,,
01092021135028,6.732381621165669,6.6044663703635225,8.385274124145507,273.47040405273435,406.8,6.5984124458029765,8.385271072387694,273.471435546875,,
01092021135029,6.729996341880614,6.602126411384883,8.385489463806152,273.4754943847656,407.0,6.599473670906368,8.384614944458006,273.434814453125,,
01092021135029,6.7297766129597045,6.60191085731347,8.385769271850585,273.4686584472656,407.2,6.595751265638665,8.385111808776854,273.456787109375,,
01092021135029,6.73312932275228,6.605199865619987,8.386264419555664,273.4710388183594,407.4,6.604773763935416,8.386434555053713,273.52947998046875,,
01092021135029,6.7365905239349795,6.6085953039802146,8.386889839172364,273.47918090820315,407.6,6.611143140283925,8.38741397857666,273.4507751464844,,
01092021135029,6.74156749371517,6.613477711334582,8.38746223449707,273.4761108398437,407.8,6.614857487335559,8.387746810913086,273.4833374023437,,
01092021135030,6.745245288820087,6.6170856283325055,8.388019180297851,273.45836181640624,408.0,6.616450862707506,8.387742042541504,273.4755249023437,,
01092021135030,6.746433614822604,6.618251376140975,8.388411903381348,273.4687561035156,408.2,6.620163302410507,8.38797378540039,273.44143676757807,,
01092021135030,6.746755565136251,6.6185672093986625,8.388572120666504,273.47882690429685,408.4,6.62281334892503,8.389219284057617,273.44073486328125,,
01092021135030,6.745235494965978,6.617076020561624,8.38865909576416,273.487841796875,408.6,6.6169718793262735,8.38937759399414,273.50274658203125,,
01092021135030,6.742525519226611,6.614417534361306,8.388171577453614,273.49423828125,408.8,6.616436653624001,8.388547897338867,273.53369140625,,
01092021135031,6.736460087554004,6.608467345890479,8.387125587463379,273.50477294921876,409.0,6.608994918522315,8.388176918029785,273.5205993652344,,
01092021135031,6.732233565501087,6.604321127756566,8.386145210266113,273.48570556640624,409.2,6.60687087140891,8.385536193847656,273.4734191894531,,
01092021135031,6.729740572541965,6.601875501663668,8.385650444030762,273.4649719238281,409.4,6.593062406570894,8.383989334106445,273.493408203125,,
01092021135031,6.730820796012388,6.602935200888153,8.385336685180665,273.464501953125,409.6,6.596240788656708,8.38447570800781,273.40740966796875,,
01092021135031,6.732441532143283,6.604525143032561,8.385729598999024,273.4636169433594,409.8,6.604208523159514,8.38607406616211,273.4300231933594,,
01092021135032,6.73731039939138,6.609301501802944,8.386595153808594,273.4528503417969,410.0,6.614293414644742,8.386608123779297,273.51824951171875,,
01092021135032,6.741854959043196,6.613759714821375,8.387529373168945,273.4641418457031,410.2,6.614820582130946,8.387500762939453,273.468994140625,,
01092021135032,6.743908494160497,6.6157742327714475,8.388047409057616,273.48194580078126,410.4,6.616944200422813,8.388317108154297,273.4395751953125,,
01092021135032,6.741090027031005,6.613009316517416,8.388175773620606,273.48118896484374,410.6,6.618531853748861,8.38914680480957,273.4638671875,,
01092021135032,6.734266711059652,6.606315643549519,8.38743953704834,273.47862548828124,410.8,6.61428111290987,8.388664245605469,273.51904296875,,
01092021135033,6.727441839656183,6.599620444702715,8.386525535583496,273.47894287109375,411.0,6.60046883337459,8.387249946594238,273.51446533203125,,
01092021135033,6.7220261897502285,6.594307692144975,8.385771751403809,273.4807861328125,411.2,6.5813522172914585,8.383819580078125,273.4561767578125,,
01092021135033,6.722131157283629,6.59441066529524,8.38508358001709,273.46466674804685,411.4,6.583468206188796,8.383747100830078,273.441162109375,,
01092021135033,6.7271085159218496,6.599293454119335,8.384630012512208,273.4595031738281,411.6,6.591968090960155,8.385377883911133,273.4730834960937,,
01092021135033,6.7429112932326225,6.614795978661204,8.385121154785157,273.4599304199219,411.8,6.614795978661203,8.385223388671875,273.4384460449219,,
01092021135034,6.764776756075338,6.636245997709906,8.385877799987792,273.46832885742185,412.0,6.624882777495064,8.384982109069824,273.4886474609375,,
